Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,224,2,19.07
0,224,4,9.26
0,224,8,12.43
0,224,16,11.10
0,224,32,10.29
0,224,64,14.91
0,224,128,17.64
0,224,256,22.46
0,224,512,23.92
0,224,1024,23.41
0,224,2048,38.25
0,224,4096,61.58
0,224,8192,103.63
0,224,16384,169.64
0,224,32768,372.43
0,224,65536,109.41
0,224,131072,247.86
0,224,262144,490.66
0,224,524288,982.25
0,224,1048576,1776.10
0,256,1,1.81
0,256,2,2.11
0,256,4,0.91
0,256,8,1.03
0,256,16,1.18
0,256,32,1.29
0,256,64,0.80
0,256,128,14.42
0,256,256,22.16
0,256,512,13.33
0,256,1024,19.18
0,256,2048,30.32
0,256,4096,42.26
0,256,8192,52.09
0,256,16384,162.77
0,256,32768,88.97
0,256,65536,108.05
0,256,131072,203.84
0,256,262144,406.31
0,256,524288,848.52
0,256,1048576,1649.57
1,2,1,681.33
1,2,2,0.26
1,2,4,0.15
1,2,8,0.17
1,2,16,0.15
1,2,32,0.15
1,2,64,0.18
1,2,128,1.20
1,2,256,6.58
1,2,512,1.27
1,2,1024,1.31
1,2,2048,1.49
1,2,4096,7.77
1,2,8192,5.11
1,2,16384,5.48
1,2,32768,6.26
1,2,65536,9.50
1,2,131072,14.83
1,2,262144,22.96
1,2,524288,41.99
1,2,1048576,81.79
1,4,1,0.69
1,4,2,0.17
1,4,4,0.16
1,4,8,0.16
1,4,16,0.15
1,4,32,0.15
1,4,64,0.14
1,4,128,2.79
1,4,256,7.38
1,4,512,2.53
1,4,1024,5.77
1,4,2048,4.63
1,4,4096,8.48
1,4,8192,9.14
1,4,16384,5.05
1,4,32768,5.94
1,4,65536,9.70
1,4,131072,19.66
1,4,262144,43.84
1,4,524288,85.65
1,4,1048576,207.23
